BUNDLE,PART-NUM,LOT-NUM,QUANTITY
5104,M23053/5-106-4,MMA101817 688734,1
5162,M23053/5-106-4,MMA101817 688734,1
5367,M23053/5-106-4,MMA101817 688734,1
5526,M23053/5-106-4,MMA101817 688734,1
6212,M23053/5-106-4,MMA101817 688734,1
6230,M23053/5-106-4,MMA101817 688734,1
6528,M23053/5-106-4,MMA101817 688734,1
7592,M23053/5-106-4,MMA101817 688734,1
3910,M23053/5-107-4,DXN116083 185199,1
5104,M23053/5-107-4,DXN116083 185199,1
5375,M23053/5-107-4,DXN116083 185199,1
6212,M23053/5-107-4,DXN116083 185199,1
7592,M23053/5-107-4,DXN116083 185199,1
2031,M23053/5-108-4,DXN116083 185200,1
2401,M23053/5-108-4,DXN116083 185200,1
3910,M23053/5-108-4,DXN116083 185200,1
5367,M23053/5-108-4,DXN116083 185200,1
5375,M23053/5-108-4,DXN116083 185200,1
6230,M23053/5-108-4,DXN116083 185200,1
7594,M23053/5-108-4,DXN116083 185200,1
2401,TTVF1529YW2.5,MMA106935 49405,1
5367,TTVF1529YW2.5,MMA106935 49405,1
5375,TTVF1529YW2.5,MMA106935 49405,3
5526,TTVF1529YW2.5,MMA106935 49405,1
6528,TTVF1529YW2.5,MMA106935 49405,2
7592,TTVF1529YW2.5,MMA106935 49405,1
7594,TTVF1529YW2.5,MMA106935 49405,1
