3/8 Heat Shrink,M23053/5-107-4,DXN116083 185199,
3/16 Heat Shrink,M23053/5-105-4,DXN116120 354577 B,
3/32 Heat Shrink,M23053/5-103-4,DXN117051 187405 A,
5104 Big Splice,D-436-0146,DXN112156 499208,
6230 Big Splice,D-436-26,DXN117172 XNFN04,
Blue 9 Splice,D-609-07,BASN119028 104915,
Blue Contact,S280W555-916,BASN115312 102863,
Blue Moisture Sleeve,D-436-0097,DXN117958 2OHO03,
Jumper Wire 18awg,55PC6121-18-900,DXN118019 2YNW02,
Jumper Wire 20awg,BMS13-48T10C01G020,BC116969 207001 I,
Red 9 Splice,D-609-06,BASN117134 105445,
Red Contact,S280W555-920,BASN115313 098904,
Red Moisture Seal,D-436-0096,DXN117829 1TEQ06,
Solder Sleeve 3-18awg,BACS13CT3D,DXN117564 0D6H04,
Solder Sleeve 3-20awg,BACS13CT3C,DXN118354 097697 A,
Solder Sleeve 3-N,BACS13CT3N,DXN114184 917311,
TFE 4X 0.25in (VL),M23053/12-504-C,DXN107276 159753,
Tedlar Tape,TTVF1529YW2.5,DXN109790 NDEQ07,
Yellow 9 Splice,D-609-08,BASN119030 103235,
Yellow Moisture Sleeve,D-436-0098,DXN118901 850703,
#1 Coil Spacer,BACS18AY1,DXN118808 050401,
#2 Coil Spacer,BACS18AY2,DXN117993 021605,
#3 Coil Spacer,BACS18AY3,DXN117878 020501,
#4 Coil Spacer,BACS18AY4,DXN117993 030406,
#5 Coil Spacer,BACS18AY5,BC93184 76979,
#10 Blue Lug,BACT12AC8,BASN115270 102241,
#10 High Temp Lug,BACT12M4,BASN115272 101207,
#10 Red Lug,BACT12AC3,BASN115265 101859,
